"run-number","self_weight","percieved_consensus_len","step","abs_global_vs_popular_vote"
"74","0","5","100","-0.04984755924566929"
"73","0","5","100","0.07986982211820376"
"75","0","5","100","0.05420953400546499"
"76","0","5","100","0.12069833145149028"
"78","0","5","100","0.45861204517924914"
"80","0","5","100","0.15699500231557834"
"77","0","5","100","0.2228116256831701"
"81","0","5","100","0.0412515825642262"
"82","0","5","100","0.22465743237258343"
"79","0","5","100","0.14426466164850774"
"83","0","5","100","0.20331324374777882"
"85","0","5","100","0.24976221356815526"
"84","0","5","100","0.1362865489835785"
"88","0","5","100","0.3508503590291008"
"87","0","5","100","0.07952163887962163"
"89","0","5","100","0.10976933490275373"
"86","0","5","100","0.05743257138435565"
"90","0","5","100","0.32783461739426656"
"92","0","10","100","0.05024307227390577"
"91","0","10","100","0.12333832238567022"
"93","0","10","100","0.00870517231153288"
"94","0","10","100","0.03533052087535012"
"95","0","10","100","0.09044117095839467"
"96","0","10","100","-0.0092812071370818"
"97","0","10","100","0.03269148098847211"
"98","0","10","100","0.17001831429018274"
"99","0","10","100","-0.01867763804507891"
"100","0","10","100","-0.03320404233104568"
"101","0","10","100","0.2470788565237724"
"102","0","10","100","0.01706568249505956"
"103","0","10","100","0.07433967905990986"
"104","0","10","100","0.02103041200801144"
"105","0","10","100","0.18826807074368035"
"107","0","10","100","0.1428799541485958"
"106","0","10","100","0.06742716524808355"
"108","0","10","100","0.06962623598391868"
"110","0","10","100","1.8442888118463735E-4"
"109","0","10","100","0.07040128781188462"
"113","0","10","100","0.05555293170182633"
"112","0","10","100","0.14679780148086244"
"114","0","10","100","0.12922248894566413"
"116","0","10","100","0.2107493614310259"
"115","0","10","100","-0.058117417402196614"
"111","0","10","100","0.3092117085652006"
"117","0","10","100","0.07833494828730056"
"119","0","10","100","0.34193208905206157"
"118","0","10","100","0.03223570512473162"
"120","0","10","100","-0.07306765035539274"
"122","0","20","100","-0.008566142550237885"
"123","0","20","100","0.061268769905446954"
"121","0","20","100","0.18913633273774053"
"125","0","20","100","0.016325975651287936"
"124","0","20","100","0.06249803686711983"
"126","0","20","100","0.2591570138888101"
"127","0","20","100","0.08972024296529979"
"128","0","20","100","0.10115905105334495"
"130","0","20","100","0.15561879744339954"
"131","0","20","100","0.02234397979119051"
"129","0","20","100","0.038840938424058835"
"132","0","20","100","0.15468935944000947"
"133","0","20","100","0.04006659802335802"
"134","0","20","100","0.08285296905710363"
"135","0","20","100","0.052138509657925006"
"136","0","20","100","0.14884070559282295"
"138","0","20","100","0.09982614822857175"
"137","0","20","100","0.039063456211001074"
"139","0","20","100","0.12509812638216328"
"140","0","20","100","0.06811619066613828"
"141","0","20","100","0.049294124969749165"
"142","0","20","100","0.1521993169915032"
"143","0","20","100","-0.07389606150109575"
"144","0","20","100","0.15028214539534682"
"145","0","20","100","0.10840742245411414"
"146","0","20","100","0.3038926964192774"
"147","0","20","100","-7.128940521348298E-4"
"148","0","20","100","0.04788110757649743"
"149","0","20","100","0.015557131600546135"
"150","0","20","100","0.13197143150560808"
"151","0.25","1","100","0.3549343885239681"
"152","0.25","1","100","0.6375751224329576"
"153","0.25","1","100","0.37892589627625894"
"154","0.25","1","100","0.3113725825515412"
"155","0.25","1","100","0.3269316121741782"
"156","0.25","1","100","0.20530437346412628"
"157","0.25","1","100","0.14666135343539788"
"158","0.25","1","100","0.5176922588134175"
"160","0.25","1","100","0.5374233987904923"
"159","0.25","1","100","0.18324312474538962"
"162","0.25","1","100","0.1574872340632052"
"161","0.25","1","100","0.1684717919948062"
"164","0.25","1","100","0.09396220292834238"
"165","0.25","1","100","0.009382396823331769"
"163","0.25","1","100","0.11409042818933934"
"166","0.25","1","100","0.428305444745152"
"167","0.25","1","100","0.4876406906679108"
"168","0.25","1","100","0.056364381657955875"
"169","0.25","1","100","0.2605170442522838"
"172","0.25","1","100","0.40814233735144073"
"170","0.25","1","100","0.5818893185498505"
"171","0.25","1","100","0.262332944343388"
"173","0.25","1","100","0.29530876447906423"
"174","0.25","1","100","0.45517584491325236"
"175","0.25","1","100","0.11197562778975187"
"176","0.25","1","100","0.39268791518223334"
"177","0.25","1","100","0.17793521182353617"
"178","0.25","1","100","0.24556200203526496"
"179","0.25","1","100","0.2670633726400618"
"180","0.25","1","100","0.37597337902083344"
"181","0.25","2","100","-0.006700923491133503"
"182","0.25","2","100","0.4038727148835552"
"183","0.25","2","100","0.09132553952912284"
"184","0.25","2","100","0.012687498886925573"
"185","0.25","2","100","0.06106486148747588"
"186","0.25","2","100","0.037676603658274174"
"187","0.25","2","100","-0.03489187295576036"
"188","0.25","2","100","-0.06422477818486999"
"189","0.25","2","100","0.28253013676424693"
"191","0.25","2","100","0.07034277491467754"
"190","0.25","2","100","0.25674821227687644"
"192","0.25","2","100","0.12481472619520037"
"193","0.25","2","100","-0.030068862131871068"
"194","0.25","2","100","0.09969767178030502"
"195","0.25","2","100","0.23687318229900395"
"199","0.25","2","100","0.4737377746225294"
"197","0.25","2","100","0.2030873838153467"
"196","0.25","2","100","0.24079917493586855"
"198","0.25","2","100","0.05066538215223652"
"200","0.25","2","100","0.06153571939091804"
